Designator,Mid X,Mid Y,Rotation,Layer
C1,418.49675,-129.032,270.0,bottom
C2,400.71675,-120.396,180.0,bottom
C3,400.71675,-119.253,180.0,bottom
C4,401.63375,-126.111,0.0,bottom
C5,406.81275,-135.89,180.0,bottom
C6,411.51175,-135.89,180.0,bottom
C7,413.67075,-133.223,270.0,bottom
C8,401.03425,-114.2365,0.0,bottom
C9,410.62275,-123.571,180.0,bottom
D10,161.925,-80.9625,90.0,bottom
D100,436.5625,-83.34375,90.0,bottom
D102,437.35625,-106.3625,90.0,bottom
D103,433.3875,-104.775,90.0,bottom
D104,437.35625,-164.30625,90.0,bottom
D105,433.3875,-161.925,90.0,bottom
D12,166.6875,-104.775,90.0,bottom
D13,166.6875,-123.825,90.0,bottom
D14,166.6875,-142.875,90.0,bottom
D15,168.275,-161.925,90.0,bottom
D16,190.5,-80.9625,90.0,bottom
D18,190.5,-104.775,90.0,bottom
D19,190.5,-123.825,90.0,bottom
D20,190.5,-142.875,90.0,bottom
D21,186.53125,-165.1,90.0,bottom
D22,209.55,-80.9625,90.0,bottom
D24,209.55,-104.775,90.0,bottom
D25,209.55,-123.825,90.0,bottom
D26,209.55,-142.875,90.0,bottom
D27,209.55,-161.925,90.0,bottom
D28,228.6,-80.9625,90.0,bottom
D30,228.6,-104.775,90.0,bottom
D31,228.6,-123.825,90.0,bottom
D32,228.6,-142.875,90.0,bottom
D33,228.6,-161.925,90.0,bottom
D34,257.175,-80.9625,90.0,bottom
D36,247.65,-104.775,90.0,bottom
D37,247.65,-123.825,90.0,bottom
D38,247.65,-142.875,90.0,bottom
D39,232.56875,-163.5125,90.0,bottom
D40,276.225,-80.9625,90.0,bottom
D42,266.7,-104.775,90.0,bottom
D43,266.7,-123.825,90.0,bottom
D44,266.7,-142.875,90.0,bottom
D45,266.7,-161.925,90.0,bottom
D58,295.275,-80.9625,90.0,bottom
D60,285.75,-104.775,90.0,bottom
D61,285.75,-123.825,90.0,bottom
D62,285.75,-142.875,90.0,bottom
D63,270.66875,-163.5125,90.0,bottom
D64,323.85,-80.9625,90.0,bottom
D66,304.8,-104.775,90.0,bottom
D67,304.8,-123.825,90.0,bottom
D68,304.8,-142.875,90.0,bottom
D69,304.8,-161.925,90.0,bottom
D70,342.9,-80.9625,90.0,bottom
D72,323.85,-104.775,90.0,bottom
D73,323.85,-123.825,90.0,bottom
D74,323.85,-142.875,90.0,bottom
D75,323.85,-161.925,90.0,bottom
D76,361.95,-80.9625,90.0,bottom
D78,342.9,-104.775,90.0,bottom
D79,342.9,-123.825,90.0,bottom
D80,342.9,-142.875,90.0,bottom
D81,327.025,-164.30625,90.0,bottom
D82,390.525,-80.9625,90.0,bottom
D84,361.95,-104.775,90.0,bottom
D85,361.95,-123.825,90.0,bottom
D86,361.95,-142.875,90.0,bottom
D87,361.95,-161.925,90.0,bottom
D88,415.13125,-80.9625,90.0,bottom
D90,385.7625,-104.775,90.0,bottom
D91,385.7625,-123.825,90.0,bottom
D92,385.7625,-142.875,90.0,bottom
D93,392.1125,-163.5125,90.0,bottom
D94,434.18125,-80.9625,90.0,bottom
D97,414.3375,-104.775,90.0,bottom
D98,433.3875,-142.875,90.0,bottom
D99,414.3375,-161.925,90.0,bottom
J1,392.1125,-98.54425,180.0,bottom
MX10,153.9875,-80.16875,0.0,top
MX100,444.5,-80.16875,0.0,top
MX102,444.5,-103.98125,0.0,top
MX103,425.45,-103.98125,0.0,top
MX104,444.5,-161.13125,0.0,top
MX105,425.45,-161.13125,0.0,top
MX12,158.75,-103.98125,0.0,top
MX13,158.115,-122.51575,0.0,top
MX14,158.75,-142.08125,0.0,top
MX15,158.75,-161.13125,0.0,top
MX15.125,156.36875,-161.13125,180.0,top
MX16,182.5625,-80.16875,0.0,top
MX18,182.5625,-103.981261,0.0,top
MX19,182.5625,-123.03125,0.0,top
MX20,182.5625,-142.08125,0.0,top
MX21,182.5625,-161.13125,0.0,top
MX22,201.6125,-80.16875,0.0,top
MX24,201.6125,-103.981261,0.0,top
MX25,201.6125,-123.03125,0.0,top
MX26,201.6125,-142.08125,0.0,top
MX27,201.6125,-161.131233,0.0,top
MX27.15,196.85,-161.13125,180.0,top
MX28,220.6625,-80.16875,0.0,top
MX30,220.6625,-103.981261,0.0,top
MX31,220.6625,-123.03125,0.0,top
MX32,220.6625,-142.08125,0.0,top
MX33,220.6625,-161.131233,0.0,top
MX34,249.2375,-80.16875,0.0,top
MX36,239.7125,-103.981261,0.0,top
MX37,239.7125,-123.03125,0.0,top
MX38,239.7125,-142.08125,0.0,top
MX39,239.7125,-161.131233,0.0,top
MX40,268.2875,-80.16875,0.0,top
MX42,258.7625,-103.981261,0.0,top
MX43,258.7625,-123.03125,0.0,top
MX44,258.7625,-142.08125,0.0,top
MX45,258.7625,-161.131233,0.0,top
MX45.2,249.2375,-161.13125,180.0,top
MX58,287.3375,-80.16875,0.0,top
MX60,277.8125,-103.981261,0.0,top
MX61,277.8125,-123.03125,0.0,top
MX62,277.8125,-142.08125,0.0,top
MX63,277.8125,-161.131233,0.0,top
MX63.2,287.3375,-161.13125,180.0,top
MX64,315.9125,-80.16875,0.0,top
MX66,296.8625,-103.981261,0.0,top
MX67,296.8625,-123.03125,0.0,top
MX68,296.8625,-142.08125,0.0,top
MX69,296.8625,-161.131233,0.0,top
MX70,334.9625,-80.16875,0.0,top
MX72,315.9125,-103.981261,0.0,top
MX73,315.9125,-123.03125,0.0,top
MX74,315.9125,-142.08125,0.0,top
MX75,315.9125,-161.131233,0.0,top
MX76,354.0125,-80.16875,0.0,top
MX78,334.9625,-103.981261,0.0,top
MX79,334.9625,-123.03125,0.0,top
MX80,334.9625,-142.08125,0.0,top
MX81,334.9625,-161.131233,0.0,top
MX81.15,339.725,-161.13125,180.0,top
MX82,382.5875,-80.16875,0.0,top
MX84,354.0125,-103.981261,0.0,top
MX85,354.0125,-123.03125,0.0,top
MX86,354.0125,-142.08125,0.0,top
MX87,354.0125,-161.13125,0.0,top
MX88,406.4,-80.16875,0.0,top
MX90,377.825,-103.981261,0.0,top
MX91,377.825,-123.03125,0.0,top
MX92,377.825,-142.08125,0.0,top
MX93,377.825,-161.13125,0.0,top
MX93.125,380.20625,-161.13125,180.0,top
MX94,424.815,-79.65325,0.0,top
MX97,406.4,-103.98125,0.0,top
MX98,425.45,-142.08125,0.0,top
MX99,406.4,-161.13125,0.0,top
R1,426.30725,-129.7305,0.0,bottom
R2,158.75,-131.37712,0.0,top
R3,425.45,-91.252695,0.0,top
SW1,427.95825,-124.6505,90.0,bottom
SW2,422.11625,-124.6505,90.0,bottom
SWR1,406.4,-80.41875,90.0,top
SWR2,425.45,-80.41875,90.0,top
SWR3,444.5,-80.41875,90.0,top
U1,407.82875,-129.413,0.0,bottom
U2,400.84673,-116.71002,270.0,bottom
