Designator,Mid X,Mid Y,Rotation,Layer
C1,456.59675,-148.082,270.0,bottom
C2,438.81675,-139.446,180.0,bottom
C3,438.81675,-138.303,180.0,bottom
C4,439.73375,-145.161,0.0,bottom
C5,444.91275,-154.94,180.0,bottom
C6,449.61175,-154.94,180.0,bottom
C7,451.77075,-152.273,270.0,bottom
C8,439.13425,-133.2865,0.0,bottom
C9,448.72275,-142.621,180.0,bottom
D10,161.925,-80.9625,90.0,bottom
D100,474.6625,-83.34375,90.0,bottom
D101,475.45625,-106.3625,90.0,bottom
D102,475.45625,-125.4125,90.0,bottom
D103,471.4875,-123.825,90.0,bottom
D104,475.45625,-183.35625,90.0,bottom
D105,471.4875,-180.975,90.0,bottom
D11,166.6875,-104.775,90.0,bottom
D12,166.6875,-123.825,90.0,bottom
D13,166.6875,-142.875,90.0,bottom
D14,166.6875,-161.925,90.0,bottom
D15,166.6875,-180.975,90.0,bottom
D16,200.025,-80.9625,90.0,bottom
D17,190.5,-104.775,90.0,bottom
D18,190.5,-123.825,90.0,bottom
D19,190.5,-142.875,90.0,bottom
D20,190.5,-161.925,90.0,bottom
D21,190.5,-180.975,90.0,bottom
D22,219.075,-80.9625,90.0,bottom
D23,209.55,-104.775,90.0,bottom
D24,209.55,-123.825,90.0,bottom
D25,209.55,-142.875,90.0,bottom
D26,209.55,-161.925,90.0,bottom
D27,209.55,-180.975,90.0,bottom
D28,238.125,-80.9625,90.0,bottom
D29,228.6,-104.775,90.0,bottom
D30,228.6,-123.825,90.0,bottom
D31,228.6,-142.875,90.0,bottom
D32,228.6,-161.925,90.0,bottom
D33,228.6,-180.975,90.0,bottom
D34,257.175,-80.9625,90.0,bottom
D35,247.65,-104.775,90.0,bottom
D36,247.65,-123.825,90.0,bottom
D37,247.65,-142.875,90.0,bottom
D38,247.65,-161.925,90.0,bottom
D39,247.65,-180.975,90.0,bottom
D40,285.75,-80.9625,90.0,bottom
D41,266.7,-104.775,90.0,bottom
D42,266.7,-123.825,90.0,bottom
D43,266.7,-142.875,90.0,bottom
D44,266.7,-161.925,90.0,bottom
D45,251.61875,-183.35625,90.0,bottom
D46,304.8,-80.9625,90.0,bottom
D47,285.75,-104.775,90.0,bottom
D48,285.75,-123.825,90.0,bottom
D49,285.75,-142.875,90.0,bottom
D50,285.75,-157.1625,90.0,bottom
D51,285.75,-180.975,90.0,bottom
D52,323.85,-80.9625,90.0,bottom
D53,304.8,-104.775,90.0,bottom
D54,304.8,-123.825,90.0,bottom
D55,304.8,-142.875,90.0,bottom
D56,304.8,-157.1625,90.0,bottom
D57,289.71875,-183.35625,90.0,bottom
D58,342.9,-80.9625,90.0,bottom
D59,323.85,-105.56875,90.0,bottom
D60,323.85,-123.825,90.0,bottom
D61,323.85,-142.875,90.0,bottom
D62,323.85,-161.925,90.0,bottom
D63,323.85,-180.975,90.0,bottom
D64,371.475,-80.9625,90.0,bottom
D65,342.9,-104.775,90.0,bottom
D66,342.9,-123.825,90.0,bottom
D67,342.9,-142.875,90.0,bottom
D68,342.9,-161.925,90.0,bottom
D69,342.9,-180.975,90.0,bottom
D70,390.525,-80.9625,90.0,bottom
D71,361.95,-104.775,90.0,bottom
D72,361.95,-123.825,90.0,bottom
D73,361.95,-142.875,90.0,bottom
D74,361.95,-161.925,90.0,bottom
D75,361.95,-180.975,90.0,bottom
D76,409.575,-80.9625,90.0,bottom
D77,381.0,-104.775,90.0,bottom
D78,381.0,-123.825,90.0,bottom
D79,381.0,-142.875,90.0,bottom
D80,381.0,-161.925,90.0,bottom
D81,381.0,-180.975,90.0,bottom
D82,428.625,-80.9625,90.0,bottom
D83,400.05,-104.775,90.0,bottom
D84,400.05,-123.825,90.0,bottom
D85,400.05,-142.875,90.0,bottom
D86,400.05,-161.925,90.0,bottom
D87,400.05,-180.975,90.0,bottom
D88,453.23125,-80.9625,90.0,bottom
D89,423.8625,-104.775,90.0,bottom
D90,423.8625,-123.825,90.0,bottom
D91,423.8625,-142.875,90.0,bottom
D92,423.8625,-161.925,90.0,bottom
D93,423.8625,-180.975,90.0,bottom
D94,472.28125,-80.9625,90.0,bottom
D95,471.4875,-104.775,90.0,bottom
D96,452.4375,-104.775,90.0,bottom
D97,452.4375,-123.825,90.0,bottom
D98,471.4875,-161.925,90.0,bottom
D99,452.4375,-180.975,90.0,bottom
J1,430.2125,-98.5125,180.0,bottom
MX10,153.9875,-80.16875,0.0,top
MX100,482.6,-80.16875,0.0,top
MX101,482.6,-103.98125,0.0,top
MX102,482.6,-123.03125,0.0,top
MX103,463.55,-123.03125,0.0,top
MX104,482.6,-180.18125,0.0,top
MX105,463.55,-180.18125,0.0,top
MX11,158.75,-103.98125,0.0,top
MX12,158.75,-123.03125,0.0,top
MX13,158.115,-141.56575,0.0,top
MX14,158.75,-161.13125,0.0,top
MX15,158.75,-180.18125,0.0,top
MX16,192.0875,-80.16875,0.0,top
